Politician,Ticker,Annualized Percentage Profit,Purchase Transaction IDs,Sell Transaction IDs,Total Purchase Amount,Total Sell Amount
Alan Lowenthal,COIN,-154.01551904878664,[20002050814],[20002008283],8000.0,8000.0
Alan Lowenthal,GM,0.0,[20003756305],"[20003749063, 20003680754, 20003680756, 20003680758]",8000.0,81000.0
Alan Lowenthal,NFLX,0.0,"[20003720049, 20003720044]","[20003715050, 20003715043, 20003715039]",40500.0,48500.0
Alan Lowenthal,SCI,0.0,"[20003755446, 20003753966, 20003753924, 20003753926, 20003753927, 20003710209]","[20003707711, 20003707712, 20003707713, 20003707714]",72500.0,32000.0
Alan Lowenthal,SPGI,0.0,[20003750483],[20003749020],8000.0,8000.0
Angus King,VZ,0.0,[10000062274],[10000061935],8000.0,8000.0
Austin Scott,BE,0.0,[20003699114],"[20001625690, 20001625691]",8000.0,16000.0
Austin Scott,CLNE,0.0,"[20003670948, 20001851038]",[20001851039],16000.0,8000.0
Austin Scott,FCEL,0.0,[20003699115],[20003670936],8000.0,8000.0
Austin Scott,KPLT,0.0,"[20003707857, 20003707769]","[20003701868, 20003699116, 20003699117]",16000.0,24000.0
Austin Scott,NVVE,315.7587299904091,[20003670943],"[20003670944, 20003670945]",8000.0,16000.0
Austin Scott,NVVE,0.0,"[20003670946, 20001851041]","[20001851042, 20001642992]",16000.0,16000.0
Austin Scott,PLUG,0.0,"[20003699118, 20003699119]","[20003670947, 20001642994]",16000.0,16000.0
Bill Keating,COF,0.0,[20003771583],[20003765471],8000.0,8000.0
Bill Keating,SU,-103.07570177465972,[20001637758],[20001637759],8000.0,8000.0
Bill Keating,VLO,46.582156687798864,[20001671208],[20001671209],32500.0,32500.0
Blake Moore,AMZN,105.26026078473801,[20002567866],[20002567867],8000.0,8000.0
Blake Moore,BABA,0.0,[20003707973],[20003689264],8000.0,8000.0
Blake Moore,BABA,0.0,[20003689265],[20003689266],8000.0,8000.0
